"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.287742333E0,-9.454339600E-1,4.528981934E0,9.436526642E0
1.297782333E0,-1.010398865E0,4.455185394E0,9.478738861E0
1.307822333E0,-9.062155151E-1,4.406536560E0,9.484876099E0
1.317863333E0,-8.093669128E-1,4.395609283E0,9.427545319E0
1.327903333E0,-7.641609192E-1,4.392016754E0,9.312734070E0
1.337974333E0,-7.265890503E-1,4.480931854E0,9.289831696E0
1.348014333E0,-8.072712708E-1,4.656067657E0,9.203461304E0
1.358054333E0,-1.057401123E0,4.908742218E0,9.229507141E0
1.368094333E0,-1.535207520E0,5.281018066E0,9.640702057E0
1.378135333E0,-2.014211426E0,5.780229950E0,1.001926483E1
1.388206333E0,-2.010768585E0,6.198759613E0,1.004950195E1
1.398246333E0,-1.711989899E0,6.379433899E0,9.918075256E0
1.408286333E0,-1.494492188E0,6.546037445E0,9.733808441E0
1.418326333E0,-1.546733551E0,6.863826599E0,9.864786072E0
1.428367333E0,-1.737586670E0,7.217690735E0,1.006207581E1
1.438407333E0,-1.750609589E0,7.501350861E0,9.792336731E0
1.448478333E0,-1.731748810E0,7.604037323E0,9.578730927E0
1.458518333E0,-1.789229279E0,7.599995728E0,9.437574463E0
1.468558333E0,-1.758243713E0,7.713908844E0,9.399403839E0
1.478599333E0,-1.689087524E0,7.787855072E0,9.223519592E0
1.488639333E0,-1.373992767E0,7.468119965E0,8.344846802E0
1.498679333E0,-9.466314697E-1,6.943311310E0,7.561226349E0
1.508750333E0,-5.252577209E-1,6.283333740E0,6.540199585E0
1.518790333E0,-1.240919495E-1,5.451513519E0,4.976700897E0
1.528831333E0,8.502319336E-2,4.922663269E0,3.799399109E0
1.538871333E0,1.288819885E-1,4.192332001E0,2.409239960E0
1.548911333E0,6.890171814E-1,3.367247772E0,6.938072205E-1
1.558982333E0,3.641926575E-1,2.392774200E0,3.658392334E-1
1.569022333E0,-6.333329773E-1,1.711241455E0,1.670526123E0
1.579062333E0,4.031117249E-1,1.736838226E0,1.351539459E0
1.589103333E0,8.177494812E-1,9.659413147E-1,1.042731628E0
1.599143333E0,4.528083801E-1,1.055305481E-1,9.677375793E-1
1.609183333E0,8.891510010E-2,2.709365845E-2,3.532653809E-2
1.619254333E0,1.025367737E-1,4.221221924E-2,6.062393188E-2
1.629294333E0,9.669891357E-2,3.562591553E-2,8.173004150E-2
1.639335333E0,8.906478882E-2,3.577560425E-2,8.262817383E-2
1.649375333E0,9.894424438E-2,3.338058472E-2,1.019380188E-1
1.659415333E0,9.624984741E-2,3.218307495E-2,1.086740112E-1
1.669486333E0,9.610015869E-2,3.787124634E-2,1.243913269E-1
1.679526333E0,9.744735718E-2,4.176315308E-2,1.540296936E-1
1.689567333E0,9.969268799E-2,3.592529297E-2,1.683998108E-1
1.699607333E0,9.939331055E-2,4.730163574E-2,1.830693054E-1
1.709647333E0,9.325607300E-2,3.532653809E-2,2.029779053E-1
1.719687333E0,9.011260986E-2,3.487747192E-2,2.106120300E-1
1.729758333E0,9.490264893E-2,3.592529297E-2,2.174977112E-1
1.739799333E0,9.116043091E-2,4.550537109E-2,2.378553772E-1
1.749839333E0,9.969268799E-2,3.682342529E-2,2.477348328E-1
1.759879333E0,9.220825195E-2,4.086502075E-2,2.659968567E-1
1.769919333E0,9.729766846E-2,2.619552612E-2,2.885998535E-1
1.779960333E0,9.639953613E-2,3.338058472E-2,2.923420715E-1
1.790030333E0,9.535171509E-2,3.742218018E-2,3.082090759E-1
1.800071333E0,9.280700684E-2,3.427871704E-2,3.234773254E-1
1.810111333E0,9.669891357E-2,3.068618774E-2,3.329077148E-1
1.820151333E0,9.639953613E-2,3.233276367E-2,3.534150696E-1
1.830192333E0,9.370513916E-2,3.502716064E-2,3.782633972E-1
1.840262333E0,1.091230774E-1,2.888992310E-2,3.867956543E-1
1.850303333E0,1.020877075E-1,3.457809448E-2,4.113446045E-1
1.860343333E0,1.026864624E-1,3.023712158E-2,4.308041382E-1
1.870383333E0,1.083746338E-1,3.921844482E-2,4.483177185E-1
1.880424333E0,1.116677856E-1,2.888992310E-2,4.611909485E-1
1.890464333E0,1.131646729E-1,2.200424194E-2,4.746629333E-1
1.900535333E0,1.107696533E-1,2.814147949E-2,4.893324280E-1
1.910575333E0,1.148112488E-1,2.694396973E-2,5.179229736E-1
1.920615333E0,1.196012878E-1,2.664459229E-2,5.462141418E-1
1.930655333E0,1.131646729E-1,2.305206299E-2,5.664221191E-1
1.940696333E0,1.113684082E-1,2.095642090E-2,6.258485413E-1
1.950736333E0,1.166075134E-1,1.901046753E-2,7.999365234E-1
1.960807333E0,2.522554321E0,1.029708710E0,3.839066620E0
1.970847333E0,2.169064407E1,7.056026917E0,4.163921082E1
1.980887333E0,3.148732178E1,4.559069366E0,8.342137436E1
1.990928333E0,1.873803406E1,-1.421683594E1,7.768081192E1
2.000968333E0,6.948400726E0,-3.027993256E1,7.801312088E1
2.011039333E0,1.414109344E0,-2.426618820E1,7.206883209E1
2.021079333E0,1.098715210E-1,-1.061742096E1,3.653302917E1
2.031119333E0,1.085243225E-1,-5.081333313E0,1.358829300E1
2.041160333E0,5.972579956E-2,-3.091371460E0,5.939498749E0
2.051200333E0,3.517684937E-2,-1.393751678E0,2.303709412E0
2.061240333E0,1.260379028E-1,-1.956431580E-1,9.238787842E-1
2.071311333E0,3.366499329E-1,1.529818726E-1,1.462458801E-1
2.081351333E0,7.683522034E-1,1.020877075E-1,-1.743873596E-1
2.091392333E0,1.523082733E0,3.564088440E-1,-6.975494385E-2
2.101432333E0,2.039957886E0,6.474037170E-1,2.439926147E-2
2.111472333E0,2.201771393E0,5.535488892E-1,7.424560547E-2
2.121543333E0,2.218985596E0,1.833686829E-1,5.927673340E-2
2.131583333E0,2.068997498E0,-1.175056458E-1,-2.918930054E-2
2.141623333E0,1.865720215E0,-2.395019531E-1,-7.873626709E-2
2.151664333E0,1.858235779E0,-3.796105957E-1,-1.483415222E-1
2.161704333E0,2.091301117E0,-6.189628601E-1,-2.862048340E-1
2.171731792E0,2.590213623E0,-1.019978943E0,-5.110372925E-1
2.181802792E0,3.187621307E0,-1.667382660E0,-8.984317017E-1
2.191842792E0,3.462449799E0,-2.466870117E0,-1.088087311E0
2.201883792E0,2.975213013E0,-3.463647308E0,1.203048248E0
2.211923792E0,1.978585510E0,-5.031786346E0,9.421108704E0
2.221963792E0,1.052311707E0,-6.512507172E0,2.133812714E1
2.232004792E0,-1.497485962E0,-5.196893005E0,2.756128601E1
2.242074792E0,-5.065466309E0,-1.089883575E0,2.669833054E1
2.252115792E0,-6.079158325E0,1.676064606E0,2.333961502E1
2.262155792E0,-3.856580200E0,2.414928131E0,1.803973618E1
2.272195792E0,-6.643185425E-1,1.312770081E0,1.324834991E1
2.282235792E0,1.674268341E0,-4.999603271E-2,9.757758636E0
2.292306792E0,2.978506165E0,-9.473799133E-1,7.450307007E0
2.302347792E0,3.137026520E0,-1.443298645E0,6.027366028E0
2.312387792E0,2.576741638E0,-1.789678345E0,5.277425537E0
2.322427792E0,1.951940918E0,-2.008672943E0,5.421126709E0
2.332467792E0,1.503024445E0,-2.086361389E0,6.568041687E0
2.342508792E0,1.088985443E0,-2.148182831E0,8.044720917E0
2.352579792E0,8.137078857E-1,-2.084116058E0,9.262288971E0
2.362619792E0,8.343649292E-1,-1.930535431E0,1.020428009E1
2.372659792E0,9.458830261E-1,-1.801204376E0,1.077803696E1
2.382699792E0,1.046324158E0,-1.631906433E0,1.097532669E1
2.392740792E0,1.143023071E0,-1.467248840E0,1.072669373E1
2.402810792E0,1.245110779E0,-1.331930237E0,1.005698639E1
2.412851792E0,1.258133698E0,-1.209185486E0,9.410630493E0
2.422891792E0,1.217268677E0,-1.087189178E0,9.112300873E0
2.432931792E0,1.196761322E0,-1.045875092E0,9.155111847E0
2.442972792E0,1.190474396E0,-1.129251709E0,9.461225281E0
2.453012792E0,1.195863190E0,-1.267115021E0,9.746681671E0
