"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.454490333E0,1.609093845E-1,1.146162860E-2,2.071098685E-1
1.464530333E0,-9.834380820E-3,1.517753676E-2,2.230049372E-1
1.474570333E0,-1.036329716E-1,1.210659072E-1,1.803677529E-1
1.484641333E0,-1.036737189E-1,3.931754529E-1,8.560236543E-2
1.494681333E0,-4.466991499E-2,6.835189462E-1,-8.220030926E-3
1.504722333E0,7.524770498E-2,9.071205854E-1,-8.621709049E-2
1.514762333E0,2.004568726E-1,1.104724288E0,-1.278659254E-1
1.524802333E0,3.056266904E-1,9.545893669E-1,-2.070006877E-1
1.534873333E0,4.494941831E-1,4.716401696E-1,-3.795960844E-1
1.544913333E0,5.650149584E-1,3.985838220E-2,-4.302928150E-1
1.554954333E0,4.872193635E-1,-2.243529111E-1,-4.775058031E-1
1.564994333E0,2.956435382E-1,-6.880747676E-1,-4.464107156E-1
1.575034333E0,1.958597153E-1,-9.974132180E-1,-2.117804736E-1
1.585074333E0,7.927264273E-2,-1.308697820E0,-4.899741709E-2
1.595145333E0,1.737037115E-2,-1.477944970E0,-3.674253821E-3
1.605186333E0,2.683444694E-2,-1.475555539E0,-3.169851145E-3
1.615226333E0,3.799600154E-2,-1.470492244E0,-1.171793789E-3
1.625266333E0,5.171394721E-2,-1.467828870E0,-3.984358162E-3
1.635306333E0,6.575013697E-2,-1.461183548E0,-4.422497936E-3
1.645347333E0,7.998420298E-2,-1.455878496E0,-4.803063814E-3
1.655417333E0,9.528678656E-2,-1.447867751E0,-5.253240932E-3
1.665458333E0,1.092100516E-1,-1.442280650E0,-4.687053151E-3
1.675498333E0,1.252598017E-1,-1.434943438E0,-5.893894471E-3
1.685538333E0,1.398246288E-1,-1.429740429E0,-6.668075453E-3
1.695579333E0,1.553467661E-1,-1.427005768E0,-6.803013850E-3
1.705649333E0,1.711723357E-1,-1.418002367E0,-9.594272822E-3
1.715690333E0,1.889714599E-1,-1.402894855E0,-1.016991492E-2
1.725730333E0,2.070242316E-1,-1.400823116E0,-1.203892101E-2
1.735770333E0,2.240120620E-1,-1.384456158E0,-1.352101192E-2
1.745811333E0,2.432222366E-1,-1.369422913E0,-1.497349981E-2
1.755851333E0,2.591808736E-1,-1.353869081E0,-1.557112671E-2
