"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.524196792E0,-2.930382788E-1,-2.419148684E-1,-1.024425626E0
1.534236792E0,-2.011938393E-1,-2.761538029E-1,-1.172878504E0
1.544277792E0,-2.219051868E-2,-1.996090710E-1,-1.323641658E0
1.554317792E0,1.400998533E-1,-3.070420325E-1,-1.512151599E0
1.564388792E0,1.876078993E-1,-4.575118423E-1,-1.692468882E0
1.574428792E0,9.091091901E-2,-7.228524685E-1,-1.893820643E0
1.584468792E0,6.293886900E-2,-4.978360534E-1,-1.996327877E0
1.594509792E0,1.693491936E-1,-2.534721196E-1,-1.785330772E0
1.604549792E0,3.527128696E-1,3.158683330E-2,-1.704421997E0
1.614589792E0,5.750687122E-1,-2.204011977E-1,-1.662001610E0
1.624660792E0,7.064706087E-1,-4.687525034E-1,-1.540788412E0
1.634700792E0,7.664436698E-1,-4.205665886E-1,-1.312261820E0
1.644741792E0,5.573874116E-1,-4.232138991E-1,-1.030273557E0
1.654781792E0,-2.467263341E-1,-2.705924213E-1,-4.914335012E-1
1.664821792E0,-1.501235664E-1,4.082759023E-1,-2.188133448E-1
1.674861792E0,2.457952797E-1,3.343457580E-1,-1.590747619E-3
1.684902792E0,4.035579264E-1,1.422861591E-2,6.974794716E-2
1.694973792E0,4.117285013E-1,-5.727965385E-2,9.330920130E-2
1.705013792E0,3.551099896E-1,-4.726222903E-2,1.023250893E-1
1.715053792E0,2.663652301E-1,-3.290938959E-2,1.257846057E-1
1.725093792E0,1.889437288E-1,3.516134247E-2,1.672565192E-1
1.735134792E0,1.239772364E-1,2.161066234E-1,2.485958487E-1
1.745174792E0,1.132398099E-1,4.050533772E-1,3.659436703E-1
1.755214792E0,6.110470369E-2,3.197986484E-1,4.701267779E-1
1.765285792E0,7.633183151E-3,3.141616285E-1,5.460094213E-1
1.775325792E0,-2.519799955E-2,4.053234756E-1,6.089074016E-1
1.785366792E0,-1.264300346E-1,3.824825287E-1,7.184092999E-1
1.795406792E0,-2.275345623E-1,3.603511453E-1,8.716347814E-1
1.805446792E0,-2.988871336E-1,3.661855757E-1,1.041336298E0
1.815486792E0,-3.463896811E-1,3.547789752E-1,1.228044629E0
1.825557792E0,-3.028068542E-1,3.316682279E-1,1.398089290E0
1.835598792E0,1.528424323E-1,5.163216591E-1,1.397809863E0
1.845638792E0,5.486542583E-1,6.262135506E-1,1.327071786E0
1.855678792E0,5.907889605E-1,4.471769035E-1,1.205891252E0
1.865718792E0,3.472840190E-1,1.262203455E-1,9.823581576E-1
1.875759792E0,1.067779493E-2,-5.141090602E-2,7.030926943E-1
1.885799792E0,-1.510300040E-1,3.182053193E-2,4.572504759E-1
1.895870792E0,-1.701379120E-1,1.177413017E-1,2.704355717E-1
1.905910792E0,-1.299291551E-1,9.535010159E-2,1.158195660E-1
1.915950792E0,-6.360793114E-2,7.869096100E-2,-1.740773022E-2
1.925974625E0,-6.639523432E-3,1.194765046E-1,-2.123204805E-2
1.936014625E0,3.086577356E-2,2.025998831E-1,2.114470303E-2
1.946054625E0,2.251055464E-2,2.448321581E-1,3.922469914E-2
1.956094625E0,-1.042795368E-2,2.152353972E-1,3.873893619E-2
1.966165625E0,-3.893341124E-2,1.771288514E-1,3.944555670E-2
1.976206625E0,-4.260617495E-2,1.571370363E-1,4.586910084E-2
1.986246625E0,-3.686169535E-2,1.534769535E-1,8.545345068E-2
1.996286625E0,-3.001257591E-2,1.843147576E-1,1.228793859E-1
2.006326625E0,-1.714213192E-2,2.118437439E-1,1.512106806E-1
2.016367625E0,-8.904177696E-3,2.284107357E-1,1.617112607E-1
2.026437625E0,3.718892112E-3,2.379483879E-1,1.564357728E-1
2.036478625E0,5.082430318E-3,2.369347811E-1,1.366213262E-1
