"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.656663875E0,-1.001272276E-1,6.997714043E0,1.299317837E0
1.666734875E0,1.897356957E-1,5.344151497E0,8.683606982E-1
1.676774875E0,7.774226665E-1,2.557389259E0,5.063273311E-1
1.686814875E0,1.761222720E0,-9.704861045E-2,3.302832842E-1
1.696854875E0,2.754137039E0,-1.867630720E0,2.942328751E-1
1.706895875E0,3.271832466E0,-1.875101089E0,3.601705730E-1
1.716965875E0,3.190393686E0,-1.489462256E0,7.734263539E-1
1.727006875E0,2.795566797E0,-7.226672769E-1,1.530196786E0
1.737046875E0,2.377882242E0,2.853170633E-1,2.007665157E0
1.747086875E0,2.006601572E0,9.095978737E-1,1.904465079E0
1.757127875E0,1.589289308E0,1.108006835E0,1.568957925E0
1.767167875E0,1.121778250E0,9.872121215E-1,1.401975751E0
1.777238875E0,7.942523956E-1,2.142855078E-1,1.411029458E0
1.787278875E0,4.666676223E-1,-3.603883088E-1,1.448394060E0
1.797318875E0,1.661037952E-1,-5.220581293E-1,1.458572149E0
1.807359875E0,-6.524148583E-2,-3.184117079E-1,1.452251554E0
1.817399875E0,-1.587029845E-1,3.920850158E-2,1.491174221E0
1.827439875E0,-1.349674761E-1,4.590453207E-1,1.590603352E0
1.837510875E0,-5.558129400E-2,7.368944883E-1,1.860715032E0
1.847550875E0,4.644971341E-3,6.755352020E-1,1.991836667E0
1.857590875E0,1.515833195E-2,4.808472097E-1,2.066327095E0
1.867631875E0,1.664950140E-2,1.966511309E-1,2.099056244E0
1.877671875E0,1.423694380E-2,-3.983091563E-2,2.061647892E0
1.887742875E0,3.582553566E-2,-1.295441687E-1,1.914384365E0
1.897782875E0,1.497827321E-1,-2.719281912E-1,1.699130654E0
1.907822875E0,3.659965098E-1,-5.102035403E-1,1.487961173E0
1.917863875E0,6.946012974E-1,-8.133695126E-1,1.286500573E0
1.927903875E0,1.078474760E0,-9.993439913E-1,1.094097137E0
1.937943875E0,1.455906749E0,-1.000442982E0,9.336257577E-1
1.948014875E0,1.745691895E0,-9.073312879E-1,8.158674240E-1
1.958049750E0,1.914198160E0,-7.920795679E-1,8.019306064E-1
1.968090750E0,1.951348424E0,-6.307283044E-1,8.833652139E-1
1.978130750E0,1.878812075E0,-2.829610109E-1,1.048231959E0
1.988170750E0,1.453377604E0,2.876464725E-1,1.158929586E0
1.998241750E0,4.800316989E-1,6.454712152E-1,1.039476156E0
2.008281750E0,-3.420930803E-1,5.205138922E-1,1.026084423E0
2.018322750E0,-9.600503445E-1,2.839756608E-1,1.105088472E0
2.028362750E0,-1.478361011E0,1.547952890E-1,1.148228288E0
2.038402750E0,-2.003942013E0,1.678389311E-2,1.131035686E0
2.048442750E0,-2.360557079E0,-5.296193957E-1,1.084167838E0
2.058513750E0,-2.151965618E0,-1.713099957E0,9.985889792E-1
2.068554750E0,-1.384159684E0,-2.377278328E0,8.148869276E-1
2.078594750E0,-3.519997001E-1,-1.780625463E0,5.600525141E-1
2.088634750E0,6.045390368E-1,-1.227270663E-1,2.328308374E-1
2.098674750E0,1.240277290E0,1.508844256E0,-1.763894260E-1
2.108745750E0,1.436989784E0,2.114061832E0,-4.857136309E-1
2.118785750E0,1.357224464E0,2.016592503E0,-5.974361300E-1
2.128826750E0,1.100501060E0,1.613630056E0,-5.406994224E-1
2.138866750E0,7.418627143E-1,1.125165343E0,-3.571253121E-1
2.148906750E0,3.458060324E-1,6.033670902E-1,-1.014966667E-1
2.158947750E0,6.707613170E-2,1.472309828E-1,5.550387129E-2
2.169017750E0,1.129092462E-2,-1.341520697E-1,8.587698638E-2
2.179058750E0,1.367178261E-1,-1.947941184E-1,8.189769089E-2
2.189098750E0,3.444294333E-1,-4.841742292E-2,8.168351650E-2
2.199138750E0,5.135127306E-1,1.994791925E-1,8.332775533E-2
2.209179750E0,5.535046458E-1,3.931531310E-1,9.742108732E-2
2.219219750E0,4.852592945E-1,4.695035517E-1,1.355466396E-1
2.229290750E0,3.847643435E-1,4.440736473E-1,1.728651375E-1
2.239330750E0,3.030175567E-1,3.601105511E-1,1.934170127E-1
2.249370750E0,2.700674832E-1,2.442545146E-1,2.022312135E-1
2.259410750E0,2.813009620E-1,1.464549899E-1,2.081452906E-1
2.269451750E0,3.194904625E-1,1.062495932E-1,2.110124677E-1
2.279522750E0,3.679320216E-1,1.159983575E-1,2.032853067E-1
2.289562750E0,4.220287502E-1,1.600272059E-1,1.993202269E-1
2.299602750E0,4.750981033E-1,2.232549191E-1,1.988976002E-1
2.309642750E0,5.290325284E-1,2.878994048E-1,2.017416507E-1
2.319683750E0,5.851400495E-1,3.612260818E-1,2.112944126E-1
2.329723750E0,6.422836185E-1,4.059849083E-1,2.256620377E-1
2.339794750E0,6.966363788E-1,4.643552601E-1,2.547059357E-1
2.349834750E0,7.176074386E-1,4.607237875E-1,2.781728804E-1
2.359874750E0,7.152768970E-1,4.718526006E-1,2.940812707E-1
2.369915750E0,6.851794720E-1,4.120355844E-1,2.899846435E-1
2.379955750E0,6.505317688E-1,2.978901267E-1,2.874546647E-1
2.390026750E0,6.313768625E-1,1.750265360E-1,3.115799129E-1
2.400066750E0,6.403519511E-1,1.080736145E-1,3.655781448E-1
2.410106750E0,6.553631425E-1,8.711257577E-2,4.197080731E-1
2.420147750E0,6.606689095E-1,1.075896174E-1,4.537264705E-1
2.430187750E0,6.355333328E-1,1.609570533E-1,4.618582726E-1
2.440227750E0,5.936087966E-1,2.760649920E-1,4.471885264E-1
2.450298750E0,5.112133026E-1,3.268882930E-1,4.056921005E-1
2.460338750E0,4.158148766E-1,1.875998974E-1,3.522286117E-1
2.470378750E0,3.271016777E-1,5.341770127E-2,2.830384076E-1
2.480419750E0,2.391877919E-1,-1.702012494E-3,1.873238981E-1
2.490459750E0,1.578873396E-1,1.322518662E-2,8.023230731E-2
2.500499750E0,7.586117089E-2,7.563157380E-2,-2.695007622E-2
2.510570750E0,-4.955150560E-2,1.015198231E-1,-1.362008750E-1
2.520610750E0,-1.795925945E-1,1.378759593E-1,-2.074604183E-1
2.530651750E0,-2.766656280E-1,2.154974490E-1,-2.462483048E-1
2.540691750E0,-3.467046320E-1,2.882078886E-1,-2.968172133E-1
2.550731750E0,-4.132519066E-1,3.431679904E-1,-3.436292708E-1
2.560802750E0,-4.780761600E-1,4.395240843E-1,-3.927387595E-1
2.570842750E0,-5.607728362E-1,5.497670174E-1,-4.461483061E-1
2.580883750E0,-6.669096351E-1,7.530551553E-1,-4.620417953E-1
2.590923750E0,-8.057724833E-1,9.990929961E-1,-4.548431337E-1
2.600963750E0,-9.841779470E-1,1.195636392E0,-4.590503871E-1
2.611003750E0,-1.143441796E0,1.351060987E0,-5.040508509E-1
2.621074750E0,-1.308427334E0,1.416352630E0,-5.364103913E-1
2.631115750E0,-1.446764350E0,1.485736609E0,-5.654455423E-1
2.641155750E0,-1.562318683E0,1.564083338E0,-5.771144032E-1
2.651195750E0,-1.652194500E0,1.707237840E0,-5.826964378E-1
2.661235750E0,-1.735889435E0,1.867108464E0,-6.032475233E-1
2.671306750E0,-1.801846623E0,2.025356054E0,-6.784706712E-1
2.681346750E0,-1.817815185E0,2.189192533E0,-7.934111357E-1
2.691387750E0,-1.747098327E0,2.307611465E0,-9.572300315E-1
2.701427750E0,-1.590635419E0,2.365611792E0,-1.194649816E0
2.711467750E0,-1.380582213E0,2.336773634E0,-1.455888629E0
2.721508750E0,-1.197342396E0,2.103325367E0,-1.709269762E0
2.731578750E0,-1.069379091E0,1.671778798E0,-1.915717006E0
2.741619750E0,-9.984018207E-1,1.173417807E0,-2.007018089E0
2.751659750E0,-9.950625300E-1,7.133530378E-1,-1.987219453E0
2.761699750E0,-1.061012983E0,3.244729340E-1,-1.912580132E0
2.771740750E0,-1.188665628E0,1.629998721E-2,-1.819523096E0
2.781780750E0,-1.346143365E0,-2.178315520E-1,-1.743487954E0
2.791851750E0,-1.514806867E0,-4.123955071E-1,-1.705116987E0
2.801891750E0,-1.659817815E0,-5.581082106E-1,-1.700868726E0
2.811931750E0,-1.744296670E0,-6.821603775E-1,-1.730534315E0
2.821971750E0,-1.774447918E0,-8.508258462E-1,-1.785634041E0
2.832012750E0,-1.747218966E0,-1.009650946E0,-1.827696681E0
2.842083750E0,-1.674033761E0,-1.135010719E0,-1.831967115E0
2.852123750E0,-1.566619873E0,-1.203066587E0,-1.798460603E0
2.862163750E0,-1.436449170E0,-1.240047455E0,-1.735338807E0
2.872203750E0,-1.279606104E0,-1.268901348E0,-1.624631286E0
2.882244750E0,-1.086000443E0,-1.278332114E0,-1.451224089E0
2.892284750E0,-8.559508324E-1,-1.284737587E0,-1.223093867E0
2.902355750E0,-6.131358147E-1,-1.280415297E0,-9.614905119E-1
2.912395750E0,-3.750487268E-1,-1.189913750E0,-6.819267273E-1
2.922435750E0,-1.794365942E-1,-1.073037386E0,-4.353014827E-1
2.932476750E0,-3.017330728E-2,-9.340998530E-1,-2.027970850E-1
2.942516750E0,7.559200376E-2,-8.185300827E-1,3.891110886E-3
2.952587750E0,1.382274330E-1,-7.196650505E-1,1.809887439E-1
2.962605625E0,1.586658657E-1,-6.133596301E-1,3.291166723E-1
2.972645625E0,1.518881768E-1,-5.120447278E-1,4.127702415E-1
2.982686625E0,1.423649788E-1,-3.926642537E-1,4.316965342E-1
2.992726625E0,1.571680158E-1,-2.796114981E-1,3.986174464E-1
3.002766625E0,2.024497390E-1,-2.373156846E-1,3.570764065E-1
3.012837625E0,2.875181735E-1,-3.064923584E-1,3.552190661E-1
3.022877625E0,4.273093641E-1,-3.654204011E-1,3.834781349E-1
3.032918625E0,6.137700677E-1,-3.294553161E-1,4.190414846E-1
3.042958625E0,8.187831640E-1,-2.085973322E-1,4.589585364E-1
3.052998625E0,9.821118712E-1,-8.206272870E-2,5.060645342E-1
3.063038625E0,1.039735913E0,-2.147900872E-2,5.367433429E-1
3.073109625E0,9.682423472E-1,-2.716046572E-2,5.441883206E-1
3.083149625E0,7.759737968E-1,-9.834463149E-2,5.401906371E-1
3.093190625E0,5.189334750E-1,-2.235269845E-1,5.271939635E-1
3.103230625E0,2.694282532E-1,-3.651999831E-1,4.740409553E-1
3.113270625E0,9.500331432E-2,-3.820586503E-1,3.529162109E-1
3.123341625E0,1.792210899E-2,-3.179395795E-1,1.794213653E-1
3.133381625E0,2.090545371E-2,-1.982770860E-1,2.531376109E-2
3.143422625E0,5.621683598E-2,-1.302823126E-1,-9.779804945E-2
3.153462625E0,1.007325947E-1,-6.846135110E-2,-1.444820762E-1
3.163502625E0,1.792045087E-1,7.242280245E-2,-7.025445998E-2
3.173543625E0,4.086723626E-1,3.644586205E-1,1.048080325E-1
3.183613625E0,7.015276551E-1,6.705346704E-1,3.295705914E-1
3.193654625E0,9.014175534E-1,9.669884443E-1,6.041495204E-1
3.203694625E0,1.001428843E0,1.148626685E0,9.028190374E-1
3.213734625E0,1.066437244E0,1.021291375E0,1.169974208E0
3.223774625E0,1.157493949E0,6.579220295E-1,1.318596959E0
3.233845625E0,1.242257237E0,2.582410276E-1,1.319781899E0
3.243886625E0,1.283435822E0,4.617029428E-2,1.190101624E0
3.253926625E0,1.289156556E0,4.045533761E-2,9.615176320E-1
3.263966625E0,1.262719393E0,2.337401211E-1,6.683819294E-1
3.274006625E0,1.195474744E0,6.542562246E-1,3.278377652E-1
3.284047625E0,1.106875420E0,9.721077085E-1,5.535376444E-2
3.294117625E0,1.051050782E0,1.113311529E0,-3.687472641E-2
3.304158625E0,1.089980364E0,1.153281331E0,3.499014303E-2
3.314198625E0,1.246986032E0,1.072993040E0,2.456427515E-1
3.324238625E0,1.489238620E0,9.366682768E-1,5.161643028E-1
3.334279625E0,1.689925432E0,7.530560493E-1,7.924508452E-1
3.344319625E0,1.758527160E0,4.988538623E-1,1.030044556E0
