"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.952012875E0,-9.331594849E-1,-9.009165344E0,-2.564167786E-1
1.962047750E0,-1.144519958E0,-8.755143585E0,1.595681763E-1
1.972118750E0,-1.305135956E0,-8.218210144E0,6.722520447E-1
1.982158750E0,-1.392404480E0,-7.057224426E0,8.409512329E-1
1.992199750E0,-1.464255066E0,-5.835764465E0,1.622326355E0
2.002239750E0,-2.176773376E0,-5.659131775E0,5.566773834E0
2.012279750E0,-2.768193512E0,-6.622977448E0,7.031028900E0
2.022350750E0,-2.709365845E0,-8.221802673E0,6.666087799E0
2.032390750E0,-2.854713593E0,-9.716743927E0,5.830824738E0
2.042430750E0,-2.885998535E0,-1.130748596E1,4.434528351E0
2.052471750E0,-2.938239899E0,-1.312470703E1,2.077230377E0
2.062511750E0,-3.430566101E0,-1.475496689E1,-8.324189758E-1
2.072551750E0,-4.243974609E0,-1.508607834E1,-3.926634521E0
2.082622750E0,-4.686155090E0,-1.395607819E1,-7.159312134E0
2.092662750E0,-4.373305664E0,-1.197345108E1,-8.768166504E0
2.102703750E0,-3.412004700E0,-1.023421783E1,-7.308851166E0
2.112743750E0,-1.742825775E0,-9.334588623E0,-2.944077759E0
2.122783750E0,-5.349874878E-1,-8.729995880E0,8.020321655E-1
2.132854750E0,-9.280700684E-2,-8.345295868E0,2.948119354E0
2.142894750E0,-5.239105225E-2,-8.048912201E0,4.118834839E0
2.152935750E0,-7.813751221E-2,-7.912845154E0,4.374353485E0
2.162975750E0,-1.529818726E-1,-8.333769836E0,3.454216919E0
2.173015750E0,-4.589456177E-1,-9.221423950E0,1.320553894E0
2.183055750E0,-6.411167908E-1,-9.897867279E0,-7.726931763E-1
2.193126750E0,-6.173162842E-1,-1.015323624E1,-2.127675476E0
2.203167750E0,-4.538562012E-1,-1.005578888E1,-2.468666382E0
2.213207750E0,-3.251239014E-1,-9.745783539E0,-1.836381226E0
2.223247750E0,-3.682342529E-1,-9.390422516E0,-8.668473816E-1
2.233287750E0,-5.875282288E-1,-9.126371613E0,-1.049317932E-1
