"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.543322382E2,-2.451901245E-1,-4.060456238E0,-2.110610962E-2
1.543422782E2,2.068698120E-1,-5.890400848E0,8.801696777E-1
1.543523192E2,3.442840576E-2,-8.822653198E0,4.396357727E-1
1.543623892E2,-1.478924561E-1,-1.282338364E1,-2.092049561E0
1.543724302E2,-6.080355835E-1,-1.914234329E1,-7.502248993E0
1.543824702E2,-1.635798340E0,-2.819731339E1,-1.082488953E1
1.543925102E2,-2.479443970E0,-3.917877731E1,-8.294551392E0
1.544025502E2,-3.136876831E0,-4.872023575E1,-6.050118713E0
1.544126212E2,-3.669618988E0,-4.806040787E1,-6.309529266E0
1.544226622E2,-4.808899841E0,-3.412363953E1,-6.097420349E0
1.544327022E2,-4.863386536E0,-2.096585129E1,-3.494632874E0
1.544427422E2,-3.940106506E0,-1.311572571E1,-1.646276550E0
1.544527822E2,-2.437381439E0,-8.555608521E0,-1.676513672E0
1.544628232E2,2.981799316E-1,-3.482957153E0,-7.552095337E0
1.544728932E2,1.971400452E0,-3.451821899E-1,-1.250769012E1
1.544829342E2,2.668500824E0,-4.092489624E-1,-1.082758392E1
1.544929742E2,3.178340607E0,-4.818479919E-1,-8.748108215E0
1.545030142E2,3.252286835E0,-6.885681152E-2,-7.590265961E0
1.545130552E2,3.016527100E0,1.408570862E-1,-5.016368408E0
1.545231252E2,3.016078033E0,-1.013392639E-1,-1.327140198E0
1.545331662E2,3.236719208E0,-6.044430542E-1,1.425485687E0
1.545432062E2,3.526217194E0,-8.421487427E-1,3.023861847E0
1.545532645E2,3.660637665E0,-6.390211487E-1,4.566703491E0
1.545633055E2,3.607947235E0,4.565505981E-1,5.630391541E0
1.545733755E2,3.063828735E0,2.000440063E0,5.653892670E0
1.545834165E2,1.856589203E0,2.973566437E0,4.562063141E0
1.545934565E2,4.703219604E-1,3.137625275E0,3.636986847E0
1.546034965E2,-5.390290833E-1,2.921774139E0,3.148402863E0
1.546135365E2,-1.256936188E0,2.784808960E0,2.555336151E0
1.546236075E2,-1.902543640E0,2.863395538E0,2.985541534E0
1.546336485E2,-2.767744446E0,2.116149445E0,4.037553864E0
1.546436885E2,-3.584446106E0,-8.563691711E-1,3.542533264E0
1.546537285E2,-4.796475677E0,-3.371738434E0,3.103047180E-1
1.546637685E2,-6.728957062E0,-9.591304779E0,-1.808763657E1
1.546738095E2,-5.156477051E0,-1.461336136E1,-2.246752853E1
1.546838805E2,-1.953587494E0,-1.515972519E1,-6.298452301E0
1.546939205E2,2.472857666E-1,-1.503054382E1,1.406624908E0
1.547039605E2,2.674638062E0,-1.659104874E1,4.847968597E0
1.547140005E2,4.509522400E0,-1.888936935E1,7.799979858E0
1.547240415E2,6.704108734E0,-2.431962708E1,1.234692444E1
1.547341115E2,7.821385345E0,-2.977173935E1,1.790112442E1
1.547441525E2,6.815028076E0,-3.023517563E1,1.841021576E1
1.547541925E2,4.259991302E0,-2.657004730E1,1.232985992E1
1.547642325E2,1.175206146E0,-1.999107834E1,-2.604583740E-1
1.547742735E2,-3.262914734E0,-1.473820175E1,-1.168365372E1
1.547843435E2,-6.889123993E0,-1.294029053E1,-2.182850739E1
1.547943845E2,-6.234535217E0,-1.255394394E1,-2.623339737E1
1.548044245E2,-1.958078156E0,-1.435080734E1,-1.482487152E1
1.548144645E2,1.455273743E0,-1.528815811E1,-2.416874084E0
1.548245055E2,3.260819092E0,-1.363993561E1,4.296515350E0
1.548345755E2,3.665278015E0,-1.175565399E1,7.444918213E0
1.548446165E2,3.307821350E0,-9.548044739E0,6.506519623E0
1.548546565E2,1.706002350E0,-8.609496460E0,2.703228607E0
1.548646965E2,5.688171387E-2,-7.331454163E0,-1.201850739E0
1.548747365E2,-5.369334412E-1,-5.301525421E0,-2.854563904E0
1.548847775E2,-3.870950317E-1,-3.732488251E0,-1.492845612E0
1.548948485E2,2.409988403E-1,-2.336640930E0,5.653742981E-1
1.549048885E2,8.434959412E-1,-6.803352356E-1,1.569935303E0
1.549149285E2,1.142574005E0,8.695417786E-1,1.567989349E0
1.549249685E2,1.097517700E0,1.697170715E0,1.083746338E0
1.549350095E2,6.770420837E-1,1.718276825E0,5.993536377E-1
1.549450795E2,-1.107696533E-2,1.227148132E0,1.365161133E-1
1.549551205E2,-6.248007202E-1,1.639091492E-1,-5.478607178E-2
1.549651605E2,-1.013242950E0,-1.139580231E0,-8.517288208E-2
1.549752005E2,-1.140178986E0,-2.586621094E0,-9.101074219E-2
1.549852415E2,-8.243357849E-1,-4.750072174E0,2.661465454E-1
1.549953115E2,-3.939807129E-1,-7.159761200E0,7.447013855E-1
1.550053525E2,-2.528242493E-1,-9.578730927E0,2.450404358E-1
1.550153925E2,-5.224136353E-2,-1.250065475E1,-2.123783569E0
1.550254325E2,-1.619631958E-1,-1.691138260E1,-5.092410278E0
1.550354735E2,-7.743397522E-1,-2.684083420E1,-7.745193787E0
1.550455435E2,-1.671124878E0,-4.139611633E1,-5.873635712E0
1.550555845E2,-2.549647980E0,-5.643384521E1,-2.196232910E0
1.550656245E2,-3.703298950E0,-5.046590561E1,-4.591402130E0
1.550756645E2,-4.670288086E0,-2.948942642E1,-4.945415955E0
1.550857045E2,-4.595144348E0,-1.622311386E1,-1.850152588E0
1.550957455E2,-3.590882721E0,-8.686735840E0,-4.833448792E-1
1.551058165E2,-2.059716797E0,-3.909420319E0,-2.138153687E0
1.551158565E2,4.920268250E-1,5.583389282E-1,-9.036857758E0
1.551258965E2,2.337838440E0,1.175355835E0,-1.208392136E1
1.551359365E2,3.134631500E0,8.756790161E-2,-1.079839462E1
1.551459775E2,3.417243805E0,-3.532653809E-1,-8.498577118E0
1.551560475E2,3.451821899E0,-5.590873718E-1,-6.441554718E0
1.551660885E2,3.253334656E0,-6.018983459E-1,-4.647984467E0
1.551761285E2,3.095712433E0,-8.533753967E-1,-3.078647919E0
1.551861685E2,3.099754028E0,-1.118174744E0,-1.006956024E0
1.551962095E2,3.256328430E0,-1.191671906E0,1.012045441E0
1.552062795E2,3.439397736E0,-1.243464203E0,1.862726440E0
1.552163205E2,3.410807190E0,-1.497186584E0,1.831441498E0
1.552263605E2,3.257226562E0,-1.410666504E0,1.419348450E0
1.552364005E2,3.310216370E0,-4.757107544E-1,1.403780823E0
1.552464415E2,3.273692322E0,3.068618774E-2,1.976340179E0
1.552565115E2,2.951711884E0,3.827540588E-1,3.533402252E0
1.552665525E2,2.253264313E0,8.512797546E-1,4.426145782E0
1.552765925E2,1.319805450E0,1.163380737E0,4.375401306E0
1.552866325E2,2.830613708E-1,4.388873291E-1,3.900139618E0
1.552966725E2,-4.695735168E-1,-1.806293793E0,2.474354553E0
1.553067435E2,-7.409591675E-1,-4.370760956E0,4.864883423E-2
1.553167845E2,-7.608677673E-1,-5.167404327E0,-1.607207794E0
1.553268245E2,-8.514294434E-1,-5.688321075E0,-3.932173004E0
1.553368645E2,-1.537901917E0,-7.975265350E0,-5.517675934E0
1.553469045E2,-2.177821198E0,-8.967851257E0,-2.922821960E0
1.553569455E2,-1.535806274E0,-1.037986496E1,-1.400337982E0
1.553670155E2,-5.857319641E-1,-1.314701065E1,-2.316133575E0
1.553770565E2,1.315913544E0,-1.956311829E1,-4.353696442E0
1.553870965E2,2.630629578E0,-2.862078278E1,-1.219064941E0
1.553971365E2,3.118914185E0,-3.873569870E1,5.059029694E0
1.554071775E2,3.651506653E0,-4.205235168E1,8.689729614E0
1.554172475E2,4.090693359E0,-3.312386856E1,5.683680725E0
1.554272885E2,2.849025421E0,-2.342897919E1,2.564766541E0
1.554373285E2,1.537752228E0,-1.699041824E1,-1.110839996E0
1.554473685E2,4.001179504E-1,-1.134401001E1,-3.982767792E0
1.554574095E2,-8.677455139E-1,-6.162085876E0,-7.644303589E0
1.554674795E2,-1.621577911E0,-1.863474884E0,-1.099119370E1
1.554775205E2,-1.140328674E0,-1.919757843E0,-1.213541428E1
1.554875605E2,9.475296021E-2,-6.343807983E0,-1.027957352E1
1.554976005E2,1.051862640E0,-1.089314758E1,-6.995402985E0
1.555076405E2,1.994901581E0,-1.360131592E1,-3.799698486E0
1.555177115E2,3.001707916E0,-1.482996094E1,-5.381309509E-1
1.555277525E2,3.414250031E0,-1.453387665E1,2.235151978E0
1.555377925E2,2.596201172E0,-1.290601181E1,3.870950317E0
1.555478325E2,8.699908447E-1,-1.048958679E1,3.936513977E0
1.555578590E2,-6.138734436E-1,-8.238268433E0,2.379451904E0
1.555679000E2,-1.523980865E0,-6.819069672E0,1.392105103E-2
1.555779710E2,-1.132095795E0,-6.164929962E0,-1.280287628E0
1.555880110E2,-1.037342834E-1,-5.269941101E0,-1.737436981E0
1.555980510E2,7.084767151E-1,-3.439697113E0,-1.063837738E0
1.556080910E2,1.028810577E0,-1.705852661E0,-1.084345093E0
1.556181320E2,1.070573730E0,-5.456153870E-1,-1.253643036E0
1.556282020E2,9.987231445E-1,2.368075562E-1,-5.616320801E-1
1.556382430E2,8.268804932E-1,5.733078003E-1,9.065148926E-1
1.556482830E2,6.740483093E-1,5.589376831E-1,2.659369812E0
1.556583230E2,4.836442566E-1,4.321513367E-1,3.485651550E0
1.556683640E2,1.419049072E-1,1.122665405E-2,3.485801239E0
1.556784340E2,-3.502716064E-1,-6.869215393E-1,2.744692383E0
1.556884750E2,-6.744973755E-1,-2.280357971E0,1.418749695E0
1.556985150E2,-6.641688538E-1,-4.229754181E0,1.695973206E-1
1.557085550E2,-4.195774841E-1,-6.433321838E0,-6.213578796E-1
1.557185960E2,2.398013306E-1,-9.073082428E0,-1.009351044E0
1.557286660E2,1.501078491E0,-1.331017136E1,-1.431622925E0
1.557387070E2,3.257226562E0,-2.217024673E1,-3.412603455E0
1.557487470E2,3.741918640E0,-3.533731567E1,-6.019133148E0
1.557587870E2,1.933978271E0,-4.625426376E1,-9.358538818E0
1.557688270E2,8.901988220E-1,-4.517261307E1,-7.699089661E0
1.557788680E2,1.341360626E0,-3.171829147E1,-4.251459045E0
1.557889390E2,1.007405090E0,-1.917781952E1,-4.468358002E0
1.557989790E2,1.071771240E0,-1.106139771E1,-5.052443390E0
1.558090190E2,1.110989685E0,-5.580395508E0,-5.971532135E0
1.558190590E2,2.049238586E0,-1.598675537E0,-7.994425507E0
1.558291000E2,2.242786102E0,-1.453028412E0,-5.401218109E0
1.558391700E2,1.715582428E0,-2.856360168E0,-1.689386902E0
1.558492110E2,1.674418030E0,-3.350033569E0,-5.435197449E-1
1.558592510E2,2.053729248E0,-3.618275757E0,-1.342707825E-1
1.558692910E2,2.571652222E0,-4.012705536E0,2.275268555E-1
1.558793320E2,3.023712158E0,-4.606969757E0,6.786886597E-1
1.558894020E2,3.335962830E0,-5.430856476E0,1.335971832E0
1.558994430E2,3.406017151E0,-5.635930023E0,1.759590912E0
1.559094830E2,3.353476410E0,-5.480852509E0,2.094145203E0
1.559195230E2,3.251239014E0,-4.826413422E0,2.018552399E0
1.559295640E2,3.098706207E0,-3.960913239E0,1.534159698E0
1.559396340E2,3.095113678E0,-3.154240723E0,1.040486298E0
1.559496750E2,3.235521698E0,-2.349364471E0,5.981561279E-1
1.559597150E2,3.311563568E0,-1.587299194E0,3.598516846E-1
1.559697550E2,3.106040955E0,-1.016087036E0,7.402107239E-1
1.559797950E2,2.629881134E0,-7.212002563E-1,1.426832886E0
1.559898360E2,1.966311035E0,-4.339476013E-1,2.009720764E0
1.559999070E2,1.096020813E0,-2.047741699E-1,2.535577240E0
1.560099470E2,-1.586700439E-1,-4.888833618E-1,3.689078522E0
1.560199870E2,-1.827100525E0,-1.741328888E0,6.683900757E0
1.560300270E2,-2.994672546E0,-4.062402191E0,9.802515564E0
1.560400680E2,-3.756887512E0,-7.239694977E0,1.090721832E1
1.560501380E2,-4.243824921E0,-1.172975784E1,1.025697052E1
1.560601790E2,-4.493954773E0,-1.975531860E1,6.191424866E0
1.560702190E2,-3.873045959E0,-3.095981873E1,-2.695444794E0
1.560802590E2,-3.837270355E0,-4.032224945E1,-8.711284790E0
1.560903000E2,-7.484136658E0,-3.680591171E1,-8.959019623E0
1.561003700E2,-9.916877747E0,-2.329575623E1,-9.567354584E0
1.561104110E2,-7.092700653E0,-1.315314789E1,-7.844138031E0
1.561204510E2,-4.425247650E0,-9.487121429E0,-2.492915955E0
1.561304910E2,-2.159858551E0,-8.385262756E0,1.714085541E0
1.561405320E2,6.988966370E-1,-8.380173340E0,2.637964325E0
1.561506020E2,3.557502136E0,-8.974886627E0,4.014651489E-1
1.561606430E2,6.021378479E0,-1.050665131E1,-2.880310364E0
1.561706830E2,8.177494812E0,-1.302920563E1,-4.889432373E0
1.561807230E2,9.486223297E0,-1.546883240E1,-3.607049103E0
1.561907630E2,9.802066498E0,-1.658715683E1,-9.836045837E-1
1.562008040E2,9.357191620E0,-1.579201035E1,6.435118103E-1
1.562108750E2,7.015161896E0,-1.418585037E1,3.745211792E-1
1.562209150E2,4.017495575E0,-1.333771408E1,-2.285447388E0
1.562309550E2,2.620450745E0,-1.214244965E1,-3.921694794E0
1.562409950E2,2.866239624E0,-1.029633865E1,-3.725303192E0
1.562510360E2,3.712579651E0,-9.150770874E0,-2.727029114E0
1.562611060E2,4.018992462E0,-8.585695953E0,-1.401086426E0
1.562711470E2,3.806883545E0,-8.247549133E0,-6.915618896E-2
1.562811870E2,3.510350189E0,-7.800428925E0,8.647517395E-1
1.562912270E2,2.878214722E0,-6.702312469E0,1.266366577E0
1.563012680E2,2.211201782E0,-5.084776154E0,1.726360016E0
1.563113380E2,1.631607056E0,-3.454366608E0,2.315085754E0
1.563213790E2,1.126257935E0,-1.622176666E0,2.612068176E0
1.563314190E2,7.360194397E-1,8.472381592E-2,2.850971375E0
1.563414590E2,5.766009521E-1,7.572752380E-1,2.753673706E0
1.563515000E2,7.851173401E-1,-2.207908630E-1,1.692979431E0
1.563615700E2,7.791297913E-1,-2.771786041E0,5.360353088E-1
1.563716110E2,1.785786438E-1,-4.712051239E0,7.155120850E-2
1.563816510E2,-3.570075989E-1,-6.455326080E0,1.213975525E-1
1.563916910E2,-1.002465363E0,-9.471553802E0,-1.625619507E-1
1.564017310E2,-2.230212250E0,-1.416639084E1,-4.698728943E-1
1.564118020E2,-3.773502960E0,-1.936957077E1,-9.973759460E-1
1.564218430E2,-5.378315735E0,-2.557386887E1,-2.741249542E0
1.564318830E2,-8.337062988E0,-3.336441833E1,-5.745202789E0
1.564419230E2,-1.198617462E1,-3.991704208E1,-9.042396240E0
1.564519630E2,-1.401879776E1,-3.908103058E1,-9.322463837E0
1.564620040E2,-1.191088120E1,-3.062765945E1,-7.884254608E0
1.564720750E2,-7.753127289E0,-2.159140045E1,-7.122788086E0
1.564821150E2,-4.424798584E0,-1.506347534E1,-5.811664581E0
1.564921550E2,-1.728305969E0,-1.041818527E1,-3.802841949E0
1.565021950E2,4.108955383E-1,-7.372618561E0,-2.383493500E0
1.565122360E2,2.433190155E0,-4.474046173E0,-4.713847504E0
1.565223060E2,3.930526428E0,-2.766696625E0,-7.373217316E0
1.565323470E2,4.601730652E0,-2.115700378E0,-8.133636017E0
1.565423870E2,4.925806732E0,-2.029479675E0,-7.534282379E0
1.565524489E2,4.843328247E0,-2.105222168E0,-5.533093872E0
1.565624899E2,4.508175201E0,-1.541943512E0,-2.934048615E0
1.565725599E2,3.865561523E0,-9.669891357E-2,-4.830455017E-1
1.565826009E2,2.897524567E0,1.875599670E0,1.212179260E0
1.565926409E2,1.982776794E0,3.489842834E0,2.396666107E0
1.566026809E2,1.222058716E0,4.413272552E0,3.561543732E0
1.566127219E2,3.469784546E-1,4.746629333E0,4.355343018E0
1.566227919E2,-7.878117371E-1,5.317392426E0,3.923491058E0
1.566328329E2,-2.059118042E0,6.001469879E0,3.106340332E0
1.566428729E2,-3.257525940E0,6.178401947E0,2.558928680E0
1.566529129E2,-4.189936981E0,5.511389008E0,1.923200684E0
1.566629529E2,-4.564757538E0,4.706363068E0,9.508227539E-1
1.566729939E2,-4.282893677E0,4.508175201E0,7.279362488E-1
1.566830649E2,-4.101620636E0,4.417763214E0,1.703457642E0
1.566931049E2,-4.370461578E0,3.176993408E0,9.783654785E-1
1.567031449E2,-4.198169861E0,-2.469863892E-1,-4.257147217E0
1.567131849E2,-3.105292511E0,-5.646707611E0,-1.056083862E1
1.567232259E2,-2.163002014E-1,-1.271470963E1,-1.438433762E1
1.567332959E2,3.305426331E0,-2.308095291E1,-1.071591614E1
1.567433369E2,4.641098785E0,-2.615960083E1,-8.551716614E-1
1.567533769E2,4.907544708E0,-2.601170837E1,4.732109528E0
1.567634169E2,5.095703430E0,-2.602128845E1,4.792733459E0
1.567734579E2,4.882696381E0,-2.380200348E1,8.857979736E0
1.567835279E2,5.259313202E0,-2.026141617E1,1.474194397E1
1.567935689E2,5.120102692E0,-1.666619247E1,1.764006729E1
1.568036089E2,4.611161041E0,-1.403436539E1,1.670720718E1
1.568136489E2,3.374283142E0,-1.333726501E1,1.297846115E1
1.568236899E2,2.012564850E0,-1.430859512E1,7.223827972E0
1.568337599E2,6.493496704E-1,-1.609423187E1,-3.213517456E0
1.568438009E2,-5.219645691E-1,-1.930280960E1,-1.742316833E1
1.568538409E2,1.073866882E0,-2.103351059E1,-2.178794174E1
1.568638809E2,4.726870422E0,-1.888053772E1,-1.890224258E1
1.568739209E2,6.925648041E0,-1.505030273E1,-1.180250656E1
1.568839619E2,7.118746490E0,-1.315165100E1,-4.343218231E0
1.568940329E2,5.802084503E0,-1.274539581E1,2.443368988E0
1.569040729E2,3.429069214E0,-1.285930893E1,5.948629761E0
1.569141129E2,9.071136475E-2,-1.306647812E1,5.281616821E0
1.569241529E2,-2.322570190E0,-1.246981888E1,2.780767365E0
1.569341939E2,-3.722608795E0,-1.105316483E1,-1.048569489E0
1.569442639E2,-4.391118622E0,-8.715925140E0,-6.503525848E0
1.569543049E2,-4.135899353E0,-6.858737183E0,-8.620124359E0
1.569643449E2,-2.861150208E0,-6.417155457E0,-4.181404724E0
1.569743849E2,-1.030008087E0,-5.066065063E0,8.247848511E-1
1.569844259E2,5.882766724E-1,-2.664309540E0,3.635190582E0
1.569944959E2,1.642534332E0,-5.261558533E-1,4.653373260E0
1.570045369E2,1.905238037E0,1.362317047E0,4.191583557E0
1.570145769E2,1.645228729E0,2.705923004E0,3.296894073E0
1.570246169E2,1.145717468E0,3.086731110E0,2.576442261E0
1.570346579E2,5.267546082E-1,3.083887024E0,1.891766052E0
1.570447279E2,-2.427951050E-1,2.918181610E0,1.286574554E0
1.570547689E2,-7.863148499E-1,1.543739777E0,9.181906128E-1
1.570648089E2,-1.015488281E0,-3.814068604E-1,1.026565247E0
1.570748489E2,-1.247954865E0,-1.633702698E0,1.901046753E0
1.570848889E2,-1.217418365E0,-2.958597565E0,2.320474548E0
1.570949299E2,-1.441502380E0,-6.380332031E0,1.470092926E0
1.571050009E2,-2.808908844E0,-1.408316391E1,-1.601070557E0
1.571150409E2,-4.732259216E0,-2.065674408E1,-6.577172699E0
1.571250809E2,-7.929759979E0,-2.909664322E1,-1.253762787E1
