"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.969651792E0,6.516437531E-1,6.105418205E-1,4.584827460E-3
1.979691792E0,5.057967901E-1,4.824829698E-1,4.099180922E-2
1.989762792E0,3.414184749E-1,3.643190265E-1,9.543827176E-2
1.999802792E0,1.286066175E-1,2.852127552E-1,1.466600895E-1
2.009843792E0,-1.554006040E-1,3.285647631E-1,1.846577972E-1
2.019883792E0,-4.655926526E-1,4.771819711E-1,1.992055476E-1
2.029923792E0,-7.509891987E-1,6.511899829E-1,1.988955587E-1
2.039963792E0,-9.835754633E-1,7.367707491E-1,1.780036688E-1
2.050034792E0,-1.151588440E0,6.650195718E-1,1.288241297E-1
2.060074792E0,-1.281032801E0,4.244384766E-1,7.568232715E-2
2.070115792E0,-1.423197627E0,-4.632531852E-2,5.276210234E-2
2.080155792E0,-1.594964981E0,-8.009651899E-1,1.193052307E-1
2.090195792E0,-2.010934353E0,-1.776041269E0,2.785321474E-1
2.100266792E0,-2.529661417E0,-2.537283421E0,4.404124916E-1
2.110306792E0,-2.802927732E0,-2.691883326E0,3.898241520E-1
2.120347792E0,-2.855795860E0,-2.326288223E0,2.125585228E-1
2.130387792E0,-2.830472231E0,-1.729088545E0,8.282770216E-2
2.140427792E0,-2.951701164E0,-8.458546996E-1,1.335776895E-1
2.150468792E0,-3.283443689E0,2.076204717E-1,3.206530511E-1
2.160538792E0,-3.658889771E0,1.467823625E0,7.016131282E-1
2.170579792E0,-4.063066006E0,2.357724905E0,1.081358552E0
2.180619792E0,-4.502207756E0,2.452229261E0,1.198579073E0
2.190659792E0,-4.682180882E0,1.593289614E0,8.456891775E-1
2.200699792E0,-4.419097900E0,4.661786258E-1,-1.031797677E-1
2.210770792E0,-4.018801689E0,-1.284660697E-1,-1.024257660E0
2.220811792E0,-3.716273546E0,-3.082107008E-1,-1.777100563E0
2.230851792E0,-3.483277321E0,-4.930436611E-1,-2.417381048E0
2.240891792E0,-3.010921240E0,-1.082063675E0,-2.843963861E0
2.250931792E0,-2.147234678E0,-1.744238973E0,-2.854390621E0
2.260972792E0,-1.234603047E0,-2.287380695E0,-2.600862503E0
2.271042792E0,-5.858685374E-1,-2.692360163E0,-2.348031521E0
2.281083792E0,-2.610968649E-1,-2.962107182E0,-2.155261040E0
2.291123792E0,-9.650178999E-2,-3.038238049E0,-2.022155762E0
2.301163792E0,3.103098832E-3,-2.924211502E0,-1.911784053E0
2.311204792E0,1.125041544E-1,-2.690564871E0,-1.803785443E0
2.321274792E0,2.957357466E-1,-2.397556067E0,-1.653176665E0
2.331315792E0,5.173773170E-1,-2.060493231E0,-1.362260699E0
2.341355792E0,7.179558873E-1,-1.687222362E0,-1.022382498E0
2.351395792E0,7.900820374E-1,-1.197650313E0,-7.629848123E-1
2.361436792E0,7.673150897E-1,-8.311765194E-1,-5.956109166E-1
2.371476792E0,6.913143396E-1,-6.254981756E-1,-5.264075994E-1
2.381547792E0,6.526939869E-1,-6.341348886E-1,-6.233385801E-1
2.391587792E0,7.448899746E-1,-7.302907109E-1,-8.011724353E-1
2.401627792E0,1.034870386E0,-6.515889764E-1,-8.288046122E-1
2.411667792E0,1.518234730E0,-2.164207101E-1,-6.188844442E-1
2.421708792E0,2.041306973E0,5.427922606E-1,-4.070660770E-1
2.431779792E0,2.361462831E0,1.390820026E0,-2.427607626E-1
2.441823417E0,2.413665533E0,2.138863564E0,-8.206088096E-2
2.451863417E0,2.216049671E0,2.626229763E0,1.134609506E-1
2.461903417E0,1.863493204E0,2.780007601E0,3.362219036E-1
2.471944417E0,1.153132081E0,2.588752031E0,6.475105286E-1
2.481984417E0,-1.472320855E-1,1.821065545E0,1.178841233E0
2.492055417E0,-2.046070099E0,1.860197783E-1,2.008421183E0
2.502095417E0,-3.284542322E0,-6.246144176E-1,2.902077198E0
2.512135417E0,-3.130891562E0,-7.633664012E-1,3.464212894E0
2.522176417E0,-1.399933577E0,-7.163057327E-1,3.503571987E0
2.532216417E0,1.141289234E0,-7.790090442E-1,2.816766500E0
2.542287417E0,3.001847267E0,-7.307875752E-1,1.509258270E0
2.552327417E0,3.928343296E0,-7.406591624E-2,1.297155023E-1
2.562367417E0,4.059130192E0,1.153517842E0,-7.863532901E-1
2.572408417E0,3.612779617E0,1.948338270E0,-1.071545362E0
2.582448417E0,3.364870787E0,2.614912987E0,-7.889853716E-1
2.592488417E0,3.033239126E0,2.818040609E0,-3.450172246E-1
2.602559417E0,2.528829575E0,1.992119670E0,-5.179797858E-2
2.612599417E0,1.882777691E0,6.117425561E-1,1.013457701E-1
2.622639417E0,1.388471961E0,-7.708597779E-1,3.010881245E-1
2.632680417E0,1.189349294E0,-2.564731121E0,5.015522242E-1
2.642720417E0,1.199226856E0,-3.923973083E0,6.221420169E-1
2.652791417E0,1.350816131E0,-4.323174953E0,5.796360970E-1
2.662831417E0,1.562197685E0,-3.697591066E0,3.757712245E-1
2.672871417E0,1.753477693E0,-2.257203102E0,2.768744528E-1
2.682912417E0,1.845251799E0,-2.997080684E-1,4.356424809E-1
2.692952417E0,1.618399382E0,1.404523015E0,6.779196262E-1
2.702992417E0,1.074972510E0,2.237054110E0,8.068074584E-1
2.713063417E0,4.210349023E-1,2.222763777E0,8.514316678E-1
2.723103417E0,-2.507657409E-1,1.488804936E0,8.144683242E-1
2.733144417E0,-8.692814708E-1,3.297938108E-1,7.835303545E-1
2.743184417E0,-1.390226007E0,-7.828209996E-1,7.444584966E-1
2.753224417E0,-1.943574667E0,-1.765415311E0,6.562156677E-1
2.763264417E0,-2.468933821E0,-2.546848059E0,5.274067521E-1
2.773335417E0,-2.865112305E0,-2.970807076E0,4.086886346E-1
2.783376417E0,-3.091471195E0,-2.998624086E0,3.415842652E-1
2.793416417E0,-3.108927727E0,-2.810265064E0,2.900712788E-1
2.803456417E0,-2.933153868E0,-2.491772175E0,2.301749140E-1
2.813496417E0,-2.774733543E0,-2.228703976E0,1.875678003E-1
2.823567417E0,-2.816338062E0,-2.161564589E0,1.958237439E-1
2.833608417E0,-3.167814016E0,-2.288477898E0,2.298703939E-1
2.843648417E0,-3.429409027E0,-2.436958075E0,3.802848607E-2
2.853688417E0,-3.373457670E0,-2.291470051E0,-1.590536833E-1
2.863728417E0,-3.307645559E0,-1.805086136E0,-3.552481532E-1
2.873769417E0,-3.336713552E0,-9.432379007E-1,-5.844502449E-1
2.883839417E0,-3.438598394E0,3.039902449E-1,-7.688491344E-1
2.893880417E0,-3.447337627E0,1.323610544E0,-6.331357956E-1
2.903920417E0,-3.181023836E0,1.179311633E0,-2.102294117E-1
2.913960417E0,-2.598617792E0,4.952582419E-1,2.327863723E-1
2.924001417E0,-1.862180829E0,3.882920146E-1,1.422140449E-1
2.934071417E0,-1.376753330E0,7.422591448E-1,-5.263251662E-1
2.944112417E0,-1.265738249E0,8.470896482E-1,-1.274843097E0
2.954152417E0,-1.310622692E0,2.014358044E-1,-2.041698456E0
2.964192417E0,-1.151086688E0,-1.112602830E0,-2.465628386E0
2.974233417E0,-6.688308716E-1,-2.237127066E0,-2.336033106E0
